17 1 41.1 r1.2 20.0 37.0 1
17 1 41.1 r1.2 20.0 30.0 1
17 1 41.1 r1.2 20.0 29.0 1
17 1 41.1 r1.2 20.0 06.2 1
17 1 41.1 r1.2 20.0 30.0 1
17 1 41.1 r1.2 20.0 35.0 1
17 1 41.1 r1.2 20.0 27.0 1
17 1 41.1 r1.2 20.0 16.0 1
17 1 41.1 r1.2 20.0 18.2 1
17 1 41.1 r1.2 20.0 01.0 1
17 1 41.1 r1.3 20.0 49.2 1
17 1 41.1 r1.2 20.0 33.0 1
17 1 20.0 r3.0 77.0      1
17 1 40.2 r1.2 64.1 37.0 1
17 1 40.2 r1.2 64.1 30.0 1
17 1 40.2 r1.2 64.1 29.0 1
17 1 40.2 r1.2 64.1 06.2 1
17 1 40.2 r1.2 64.1 35.0 1
17 1 40.2 r1.2 64.1 27.0 1
17 1 40.2 r1.2 64.1 16.0 1
17 1 40.2 r1.2 64.1 18.2 1
17 1 40.2 r1.2 64.1 01.0 1
17 1 41.1 r1.2 64.1 37.0 1
17 1 41.1 r1.2 64.1 30.0 1
17 1 41.1 r1.2 64.1 29.0 1
17 1 41.1 r1.2 64.1 06.2 1
17 1 41.1 r1.2 64.1 35.0 1
17 1 41.1 r1.2 64.1 27.0 1
17 1 41.1 r1.2 64.1 16.0 1
17 1 41.1 r1.2 64.1 18.2 1
17 1 41.1 r1.2 64.1 01.0 1
17 1 40.2 r1.2 64.1 69.1 1
17 1 40.2 r1.2 64.1 36.0 1
17 1 41.1 r1.2 64.1 69.1 1
17 1 41.1 r1.2 64.1 36.0 1
17 1 40.2 r2.2 71.0 33.0 1
17 1 41.1 r2.2 71.1 33.0 1
17 1 40.2 r2.2 14.0 45.1 1
17 1 40.2 r2.2 04.1 45.1 1
17 1 41.1 r2.2 14.0 45.1 1
17 1 41.1 r2.2 04.1 45.1 1
17 1 71.1 r4.0 24.0      1
17 1 40.2 r1.2 72.1 54.1 1
17 1 40.2 r1.2 72.1 37.0 1
17 1 40.2 r1.2 72.1 30.0 1
17 1 40.2 r1.2 72.1 29.0 1
17 1 40.2 r1.2 72.1 06.2 1
17 1 40.2 r1.2 72.1 35.0 1
17 1 40.2 r1.2 72.1 27.0 1
17 1 40.2 r1.2 72.1 16.0 1
17 1 40.2 r1.2 72.1 18.2 1
17 1 40.2 r1.2 72.1 01.0 1
17 1 40.2 r1.3 72.1 49.2 1
17 1 40.2 r1.2 72.1 33.0 1
17 1 41.1 r1.2 72.1 54.1 1
17 1 41.1 r1.2 72.1 37.0 1
17 1 41.1 r1.2 72.1 30.0 1
17 1 41.1 r1.2 72.1 29.0 1
17 1 41.1 r1.2 72.1 06.2 1
17 1 41.1 r1.2 72.1 35.0 1
17 1 41.1 r1.2 72.1 27.0 1
17 1 41.1 r1.2 72.1 16.0 1
17 1 41.1 r1.2 72.1 18.2 1
17 1 41.1 r1.2 72.1 01.0 1
17 1 41.1 r1.3 72.1 49.2 1
17 1 41.1 r1.2 72.1 33.0 1
17 1 72.1 r3.0 77.0      1
17 1 20.0 r1.1 63.1      2
17 1 20.0 r1.1 13.2      2
17 1 20.0 r1.1 72.2      2
17 1 20.0 r1.1 60.2      2
17 1 72.1 r1.1 63.1      2
17 1 72.1 r1.1 13.2      2
17 1 72.1 r1.1 72.2      2
17 1 72.1 r1.1 60.2      2
17 1 64.1 r1.1 63.1      2
17 1 64.1 r1.1 13.2      2
17 1 64.1 r1.1 72.2      2
17 1 64.1 r1.1 60.2      2
17 1 63.1 r3.0 75.0      2
17 1 63.1 r1.1 80.0      2
17 1 63.1 r1.1 78.0      2
17 1 63.0 r1.1 81.0      2
17 1 63.0 r1.1 88.1      2
17 1 13.2 r1.1 80.0      2
17 1 13.2 r1.1 78.0      2
17 1 13.2 r1.1 81.0      2
17 1 13.2 r1.1 88.1      2
17 1 72.2 r1.1 80.0      2
17 1 72.2 r1.1 78.0      2
17 1 72.2 r1.1 81.0      2
17 1 72.2 r1.1 88.1      2
17 1 60.2 r1.1 80.0      2
17 1 60.2 r1.1 78.0      2
17 1 60.2 r1.1 81.0      2
17 1 60.2 r1.1 88.1      2
